"ThyroidClass","patient_age_Seg","positive","count","indicateur"
"sick","31-40",0,12,"presc_thyroxine"
"sick","41-50",0,21,"presc_thyroxine"
"sick","41-50",1,2,"presc_thyroxine"
"sick","51-60",0,44,"presc_thyroxine"
"sick","51-60",1,2,"presc_thyroxine"
"sick","61-70",0,50,"presc_thyroxine"
"sick","61-70",1,3,"presc_thyroxine"
"sick","71-80",0,60,"presc_thyroxine"
"sick","71-80",1,3,"presc_thyroxine"
"sick","81-90",0,20,"presc_thyroxine"
"sick","91-100",0,2,"presc_thyroxine"
"negative","1-10",0,30,"queried_why_on_thyroxine"
"negative","11-20",0,234,"queried_why_on_thyroxine"
"negative","11-20",1,2,"queried_why_on_thyroxine"
"negative","21-30",0,455,"queried_why_on_thyroxine"
"negative","21-30",1,10,"queried_why_on_thyroxine"
"negative","31-40",0,529,"queried_why_on_thyroxine"
"negative","31-40",1,5,"queried_why_on_thyroxine"
"negative","41-50",0,455,"queried_why_on_thyroxine"
"negative","41-50",1,8,"queried_why_on_thyroxine"
"negative","51-60",0,695,"queried_why_on_thyroxine"
"negative","51-60",1,11,"queried_why_on_thyroxine"
"negative","61-70",0,626,"queried_why_on_thyroxine"
"negative","61-70",1,8,"queried_why_on_thyroxine"
"negative","71-80",0,371,"queried_why_on_thyroxine"
"negative","71-80",1,1,"queried_why_on_thyroxine"
"negative","81-90",0,98,"queried_why_on_thyroxine"
"negative","81-90",1,1,"queried_why_on_thyroxine"
"negative","91-100",0,2,"queried_why_on_thyroxine"
"sick","11-20",0,5,"queried_why_on_thyroxine"
"sick","11-20",1,1,"queried_why_on_thyroxine"
"sick","21-30",0,6,"queried_why_on_thyroxine"
"sick","31-40",0,12,"queried_why_on_thyroxine"
"sick","41-50",0,22,"queried_why_on_thyroxine"
"sick","41-50",1,1,"queried_why_on_thyroxine"
"sick","51-60",0,46,"queried_why_on_thyroxine"
"sick","61-70",0,52,"queried_why_on_thyroxine"
"sick","61-70",1,1,"queried_why_on_thyroxine"
"sick","71-80",0,62,"queried_why_on_thyroxine"
"sick","71-80",1,1,"queried_why_on_thyroxine"
"sick","81-90",0,20,"queried_why_on_thyroxine"
"sick","91-100",0,2,"queried_why_on_thyroxine"
"negative","1-10",0,29,"presc_anthyroid_meds"
"negative","1-10",1,1,"presc_anthyroid_meds"
"negative","11-20",0,226,"presc_anthyroid_meds"
"negative","11-20",1,10,"presc_anthyroid_meds"
"negative","21-30",0,458,"presc_anthyroid_meds"
"negative","21-30",1,7,"presc_anthyroid_meds"
"negative","31-40",0,522,"presc_anthyroid_meds"
"negative","31-40",1,12,"presc_anthyroid_meds"
"negative","41-50",0,461,"presc_anthyroid_meds"
"negative","41-50",1,2,"presc_anthyroid_meds"
"negative","51-60",0,702,"presc_anthyroid_meds"
"negative","51-60",1,4,"presc_anthyroid_meds"
"negative","61-70",0,632,"presc_anthyroid_meds"
"negative","61-70",1,2,"presc_anthyroid_meds"
"negative","71-80",0,367,"presc_anthyroid_meds"
"negative","71-80",1,5,"presc_anthyroid_meds"
"negative","81-90",0,99,"presc_anthyroid_meds"
"negative","91-100",0,2,"presc_anthyroid_meds"
"sick","11-20",0,6,"presc_anthyroid_meds"
"sick","21-30",0,6,"presc_anthyroid_meds"
"sick","31-40",0,12,"presc_anthyroid_meds"
"sick","41-50",0,23,"presc_anthyroid_meds"
"sick","51-60",0,46,"presc_anthyroid_meds"
"sick","61-70",0,53,"presc_anthyroid_meds"
"sick","71-80",0,63,"presc_anthyroid_meds"
"sick","81-90",0,20,"presc_anthyroid_meds"
"sick","91-100",0,2,"presc_anthyroid_meds"
"negative","1-10",0,29,"sick"
"negative","1-10",1,1,"sick"
"negative","11-20",0,234,"sick"
"negative","11-20",1,2,"sick"
"negative","21-30",0,454,"sick"
"negative","21-30",1,11,"sick"
"negative","31-40",0,530,"sick"
"negative","31-40",1,4,"sick"
"negative","41-50",0,453,"sick"
"negative","41-50",1,10,"sick"
"negative","51-60",0,665,"sick"
"negative","51-60",1,41,"sick"
"negative","61-70",0,601,"sick"
"negative","61-70",1,33,"sick"
"negative","71-80",0,353,"sick"
"negative","71-80",1,19,"sick"
"negative","81-90",0,98,"sick"
"negative","81-90",1,1,"sick"
"negative","91-100",0,2,"sick"
"sick","11-20",0,6,"sick"
"sick","21-30",0,4,"sick"
"sick","21-30",1,2,"sick"
"sick","31-40",0,12,"sick"
"sick","41-50",0,21,"sick"
"sick","41-50",1,2,"sick"
"sick","51-60",0,38,"sick"
"sick","51-60",1,8,"sick"
"sick","61-70",0,47,"sick"
"sick","61-70",1,6,"sick"
"sick","71-80",0,60,"sick"
"sick","71-80",1,3,"sick"
"sick","81-90",0,18,"sick"
"sick","81-90",1,2,"sick"
"sick","91-100",1,2,"sick"
"negative","1-10",0,30,"pregnant"
"negative","11-20",0,231,"pregnant"
"negative","11-20",1,5,"pregnant"
"negative","21-30",0,441,"pregnant"
"negative","21-30",1,24,"pregnant"
"negative","31-40",0,512,"pregnant"
"negative","31-40",1,22,"pregnant"
"negative","41-50",0,463,"pregnant"
"negative","51-60",0,706,"pregnant"
"negative","61-70",0,634,"pregnant"
"negative","71-80",0,370,"pregnant"
"negative","71-80",1,2,"pregnant"
"negative","81-90",0,99,"pregnant"
"negative","91-100",0,2,"pregnant"
"sick","11-20",0,6,"pregnant"
"sick","21-30",0,6,"pregnant"
"sick","31-40",0,12,"pregnant"
"sick","41-50",0,23,"pregnant"
"sick","51-60",0,46,"pregnant"
"sick","61-70",0,53,"pregnant"
"sick","71-80",0,63,"pregnant"
"sick","81-90",0,20,"pregnant"
"sick","91-100",0,2,"pregnant"
"negative","1-10",0,30,"thyroid_surgery"
"negative","11-20",0,233,"thyroid_surgery"
"negative","11-20",1,3,"thyroid_surgery"
"negative","21-30",0,455,"thyroid_surgery"
"negative","21-30",1,10,"thyroid_surgery"
"negative","31-40",0,524,"thyroid_surgery"
"negative","31-40",1,10,"thyroid_surgery"
"negative","41-50",0,451,"thyroid_surgery"
"negative","41-50",1,12,"thyroid_surgery"
"negative","51-60",0,698,"thyroid_surgery"
"negative","51-60",1,8,"thyroid_surgery"
"negative","61-70",0,628,"thyroid_surgery"
"negative","61-70",1,6,"thyroid_surgery"
"negative","71-80",0,368,"thyroid_surgery"
"negative","71-80",1,4,"thyroid_surgery"
"negative","81-90",0,99,"thyroid_surgery"
"negative","91-100",0,2,"thyroid_surgery"
"sick","11-20",0,6,"thyroid_surgery"
"sick","21-30",0,6,"thyroid_surgery"
"sick","31-40",0,12,"thyroid_surgery"
"sick","41-50",0,23,"thyroid_surgery"
"sick","51-60",0,46,"thyroid_surgery"
"sick","61-70",0,53,"thyroid_surgery"
"sick","71-80",0,63,"thyroid_surgery"
"sick","81-90",0,20,"thyroid_surgery"
"sick","91-100",0,2,"thyroid_surgery"
"negative","1-10",0,30,"radioactive_iodine_therapyI131"
"negative","11-20",0,236,"radioactive_iodine_therapyI131"
"negative","21-30",0,465,"radioactive_iodine_therapyI131"
"negative","31-40",0,530,"radioactive_iodine_therapyI131"
"negative","31-40",1,4,"radioactive_iodine_therapyI131"
"negative","41-50",0,452,"radioactive_iodine_therapyI131"
"negative","41-50",1,11,"radioactive_iodine_therapyI131"
"negative","51-60",0,694,"radioactive_iodine_therapyI131"
"negative","51-60",1,12,"radioactive_iodine_therapyI131"
"negative","61-70",0,611,"radioactive_iodine_therapyI131"
"negative","61-70",1,23,"radioactive_iodine_therapyI131"
"negative","71-80",0,364,"radioactive_iodine_therapyI131"
"negative","71-80",1,8,"radioactive_iodine_therapyI131"
"negative","81-90",0,99,"radioactive_iodine_therapyI131"
"negative","91-100",0,2,"radioactive_iodine_therapyI131"
"sick","11-20",0,5,"radioactive_iodine_therapyI131"
"sick","11-20",1,1,"radioactive_iodine_therapyI131"
"sick","21-30",0,6,"radioactive_iodine_therapyI131"
"sick","31-40",0,12,"radioactive_iodine_therapyI131"
"sick","41-50",0,23,"radioactive_iodine_therapyI131"
"sick","51-60",0,46,"radioactive_iodine_therapyI131"
"sick","61-70",0,53,"radioactive_iodine_therapyI131"
"sick","71-80",0,63,"radioactive_iodine_therapyI131"
"sick","81-90",0,20,"radioactive_iodine_therapyI131"
"sick","91-100",0,2,"radioactive_iodine_therapyI131"
"negative","1-10",0,28,"query_hypothyroid"
"negative","1-10",1,2,"query_hypothyroid"
"negative","11-20",0,226,"query_hypothyroid"
"negative","11-20",1,10,"query_hypothyroid"
"negative","21-30",0,444,"query_hypothyroid"
"negative","21-30",1,21,"query_hypothyroid"
"negative","31-40",0,507,"query_hypothyroid"
"negative","31-40",1,27,"query_hypothyroid"
"negative","41-50",0,444,"query_hypothyroid"
"negative","41-50",1,19,"query_hypothyroid"
"negative","51-60",0,662,"query_hypothyroid"
"negative","51-60",1,44,"query_hypothyroid"
"negative","61-70",0,585,"query_hypothyroid"
"negative","61-70",1,49,"query_hypothyroid"
"negative","71-80",0,340,"query_hypothyroid"
"negative","71-80",1,32,"query_hypothyroid"
"negative","81-90",0,97,"query_hypothyroid"
"negative","81-90",1,2,"query_hypothyroid"
"negative","91-100",0,2,"query_hypothyroid"
"sick","11-20",0,4,"query_hypothyroid"
"sick","11-20",1,2,"query_hypothyroid"
"sick","21-30",0,6,"query_hypothyroid"
"sick","31-40",0,11,"query_hypothyroid"
"sick","31-40",1,1,"query_hypothyroid"
"sick","41-50",0,19,"query_hypothyroid"
"sick","41-50",1,4,"query_hypothyroid"
"sick","51-60",0,41,"query_hypothyroid"
"sick","51-60",1,5,"query_hypothyroid"
"sick","61-70",0,48,"query_hypothyroid"
"sick","61-70",1,5,"query_hypothyroid"
"sick","71-80",0,55,"query_hypothyroid"
"sick","71-80",1,8,"query_hypothyroid"
"sick","81-90",0,17,"query_hypothyroid"
"sick","81-90",1,3,"query_hypothyroid"
"sick","91-100",0,2,"query_hypothyroid"
"negative","1-10",0,29,"query_hyperthyroid"
"negative","1-10",1,1,"query_hyperthyroid"
"negative","11-20",0,219,"query_hyperthyroid"
"negative","11-20",1,17,"query_hyperthyroid"
"negative","21-30",0,442,"query_hyperthyroid"
"negative","21-30",1,23,"query_hyperthyroid"
"negative","31-40",0,478,"query_hyperthyroid"
"negative","31-40",1,56,"query_hyperthyroid"
"negative","41-50",0,431,"query_hyperthyroid"
"negative","41-50",1,32,"query_hyperthyroid"
"negative","51-60",0,669,"query_hyperthyroid"
"negative","51-60",1,37,"query_hyperthyroid"
"negative","61-70",0,592,"query_hyperthyroid"
"negative","61-70",1,42,"query_hyperthyroid"
"negative","71-80",0,355,"query_hyperthyroid"
"negative","71-80",1,17,"query_hyperthyroid"
"negative","81-90",0,95,"query_hyperthyroid"
"negative","81-90",1,4,"query_hyperthyroid"
"negative","91-100",0,2,"query_hyperthyroid"
"sick","11-20",0,5,"query_hyperthyroid"
"sick","11-20",1,1,"query_hyperthyroid"
"sick","21-30",0,6,"query_hyperthyroid"
"sick","31-40",0,11,"query_hyperthyroid"
"sick","31-40",1,1,"query_hyperthyroid"
"sick","41-50",0,22,"query_hyperthyroid"
"sick","41-50",1,1,"query_hyperthyroid"
"sick","51-60",0,42,"query_hyperthyroid"
"sick","51-60",1,4,"query_hyperthyroid"
"sick","61-70",0,52,"query_hyperthyroid"
"sick","61-70",1,1,"query_hyperthyroid"
"sick","71-80",0,63,"query_hyperthyroid"
"sick","81-90",0,20,"query_hyperthyroid"
"sick","91-100",0,2,"query_hyperthyroid"
"negative","1-10",0,30,"lithium"
"negative","11-20",0,236,"lithium"
"negative","21-30",0,462,"lithium"
"negative","21-30",1,3,"lithium"
"negative","31-40",0,529,"lithium"
"negative","31-40",1,5,"lithium"
"negative","41-50",0,459,"lithium"
"negative","41-50",1,4,"lithium"
"negative","51-60",0,703,"lithium"
"negative","51-60",1,3,"lithium"
"negative","61-70",0,632,"lithium"
"negative","61-70",1,2,"lithium"
"negative","71-80",0,372,"lithium"
"negative","81-90",0,99,"lithium"
"negative","91-100",0,2,"lithium"
"sick","11-20",0,6,"lithium"
"sick","21-30",0,6,"lithium"
"sick","31-40",0,12,"lithium"
"sick","41-50",0,22,"lithium"
"sick","41-50",1,1,"lithium"
"sick","51-60",0,46,"lithium"
"sick","61-70",0,53,"lithium"
"sick","71-80",0,63,"lithium"
"sick","81-90",0,20,"lithium"
"sick","91-100",0,2,"lithium"
"negative","1-10",0,30,"goitre"
"negative","11-20",0,231,"goitre"
"negative","11-20",1,5,"goitre"
"negative","21-30",0,461,"goitre"
"negative","21-30",1,4,"goitre"
"negative","31-40",0,523,"goitre"
"negative","31-40",1,11,"goitre"
"negative","41-50",0,461,"goitre"
"negative","41-50",1,2,"goitre"
"negative","51-60",0,700,"goitre"
"negative","51-60",1,6,"goitre"
"negative","61-70",0,630,"goitre"
"negative","61-70",1,4,"goitre"
"negative","71-80",0,372,"goitre"
"negative","81-90",0,99,"goitre"
"negative","91-100",0,2,"goitre"
"sick","11-20",0,6,"goitre"
"sick","21-30",0,6,"goitre"
"sick","31-40",0,12,"goitre"
"sick","41-50",0,21,"goitre"
"sick","41-50",1,2,"goitre"
"sick","51-60",0,46,"goitre"
"sick","61-70",0,53,"goitre"
"sick","71-80",0,63,"goitre"
"sick","81-90",0,20,"goitre"
"sick","91-100",0,2,"goitre"
"negative","1-10",0,30,"tumor"
"negative","11-20",0,228,"tumor"
"negative","11-20",1,8,"tumor"
"negative","21-30",0,445,"tumor"
"negative","21-30",1,20,"tumor"
"negative","31-40",0,520,"tumor"
"negative","31-40",1,14,"tumor"
"negative","41-50",0,456,"tumor"
"negative","41-50",1,7,"tumor"
"negative","51-60",0,689,"tumor"
"negative","51-60",1,17,"tumor"
"negative","61-70",0,615,"tumor"
"negative","61-70",1,19,"tumor"
"negative","71-80",0,367,"tumor"
"negative","71-80",1,5,"tumor"
"negative","81-90",0,95,"tumor"
"negative","81-90",1,4,"tumor"
"negative","91-100",0,2,"tumor"
"sick","11-20",0,6,"tumor"
"sick","21-30",0,6,"tumor"
"sick","31-40",0,12,"tumor"
"sick","41-50",0,23,"tumor"
"sick","51-60",0,46,"tumor"
"sick","61-70",0,51,"tumor"
"sick","61-70",1,2,"tumor"
"sick","71-80",0,63,"tumor"
"sick","81-90",0,20,"tumor"
"sick","91-100",0,2,"tumor"
"negative","1-10",0,30,"hypopituitarism"
"negative","11-20",0,236,"hypopituitarism"
"negative","21-30",0,465,"hypopituitarism"
"negative","31-40",0,534,"hypopituitarism"
"negative","41-50",0,463,"hypopituitarism"
"negative","51-60",0,706,"hypopituitarism"
"negative","61-70",0,634,"hypopituitarism"
"negative","71-80",0,372,"hypopituitarism"
"negative","81-90",0,99,"hypopituitarism"
"negative","91-100",0,2,"hypopituitarism"
"sick","11-20",0,5,"hypopituitarism"
"sick","11-20",1,1,"hypopituitarism"
"sick","21-30",0,6,"hypopituitarism"
"sick","31-40",0,12,"hypopituitarism"
"sick","41-50",0,23,"hypopituitarism"
"sick","51-60",0,46,"hypopituitarism"
"sick","61-70",0,53,"hypopituitarism"
"sick","71-80",0,63,"hypopituitarism"
"sick","81-90",0,20,"hypopituitarism"
"sick","91-100",0,2,"hypopituitarism"
"negative","1-10",0,30,"psych_condition"
"negative","11-20",0,217,"psych_condition"
"negative","11-20",1,19,"psych_condition"
"negative","21-30",0,423,"psych_condition"
"negative","21-30",1,42,"psych_condition"
"negative","31-40",0,487,"psych_condition"
"negative","31-40",1,47,"psych_condition"
"negative","41-50",0,444,"psych_condition"
"negative","41-50",1,19,"psych_condition"
"negative","51-60",0,685,"psych_condition"
"negative","51-60",1,21,"psych_condition"
"negative","61-70",0,619,"psych_condition"
"negative","61-70",1,15,"psych_condition"
"negative","71-80",0,359,"psych_condition"
"negative","71-80",1,13,"psych_condition"
"negative","81-90",0,97,"psych_condition"
"negative","81-90",1,2,"psych_condition"
"negative","91-100",0,2,"psych_condition"
"sick","11-20",0,6,"psych_condition"
"sick","21-30",0,6,"psych_condition"
"sick","31-40",0,12,"psych_condition"
"sick","41-50",0,21,"psych_condition"
"sick","41-50",1,2,"psych_condition"
"sick","51-60",0,43,"psych_condition"
"sick","51-60",1,3,"psych_condition"
"sick","61-70",0,53,"psych_condition"
"sick","71-80",0,62,"psych_condition"
"sick","71-80",1,1,"psych_condition"
"sick","81-90",0,19,"psych_condition"
"sick","81-90",1,1,"psych_condition"
"sick","91-100",0,2,"psych_condition"
"negative","1-10",0,5,"TSH_measured"
"negative","1-10",1,25,"TSH_measured"
"negative","11-20",0,47,"TSH_measured"
"negative","11-20",1,189,"TSH_measured"
"negative","21-30",0,58,"TSH_measured"
"negative","21-30",1,407,"TSH_measured"
"negative","31-40",0,66,"TSH_measured"
"negative","31-40",1,468,"TSH_measured"
"negative","41-50",0,38,"TSH_measured"
"negative","41-50",1,425,"TSH_measured"
"negative","51-60",0,78,"TSH_measured"
"negative","51-60",1,628,"TSH_measured"
"negative","61-70",0,53,"TSH_measured"
"negative","61-70",1,581,"TSH_measured"
"negative","71-80",0,19,"TSH_measured"
"negative","71-80",1,353,"TSH_measured"
"negative","81-90",0,3,"TSH_measured"
"negative","81-90",1,96,"TSH_measured"
"negative","91-100",1,2,"TSH_measured"
"sick","11-20",1,6,"TSH_measured"
"sick","21-30",1,6,"TSH_measured"
"sick","31-40",1,12,"TSH_measured"
"sick","41-50",1,23,"TSH_measured"
"sick","51-60",1,46,"TSH_measured"
"sick","61-70",1,53,"TSH_measured"
"sick","71-80",0,2,"TSH_measured"
"sick","71-80",1,61,"TSH_measured"
"sick","81-90",1,20,"TSH_measured"
"sick","91-100",1,2,"TSH_measured"
"negative","1-10",0,13,"T3_measured"
"negative","1-10",1,17,"T3_measured"
"negative","11-20",0,66,"T3_measured"
"negative","11-20",1,170,"T3_measured"
"negative","21-30",0,101,"T3_measured"
"negative","21-30",1,364,"T3_measured"
"negative","31-40",0,111,"T3_measured"
"negative","31-40",1,423,"T3_measured"
"negative","41-50",0,102,"T3_measured"
"negative","41-50",1,361,"T3_measured"
"negative","51-60",0,166,"T3_measured"
"negative","51-60",1,540,"T3_measured"
"negative","61-70",0,141,"T3_measured"
"negative","61-70",1,493,"T3_measured"
"negative","71-80",0,42,"T3_measured"
"negative","71-80",1,330,"T3_measured"
"negative","81-90",0,23,"T3_measured"
"negative","81-90",1,76,"T3_measured"
"negative","91-100",0,1,"T3_measured"
"negative","91-100",1,1,"T3_measured"
"sick","11-20",1,6,"T3_measured"
"sick","21-30",1,6,"T3_measured"
"sick","31-40",1,12,"T3_measured"
"sick","41-50",0,1,"T3_measured"
"sick","41-50",1,22,"T3_measured"
"sick","51-60",0,1,"T3_measured"
"sick","51-60",1,45,"T3_measured"
"sick","61-70",0,1,"T3_measured"
"sick","61-70",1,52,"T3_measured"
"sick","71-80",1,63,"T3_measured"
"sick","81-90",1,20,"T3_measured"
"sick","91-100",1,2,"T3_measured"
"negative","1-10",0,6,"T4_measured"
"negative","1-10",1,24,"T4_measured"
"negative","11-20",0,26,"T4_measured"
"negative","11-20",1,210,"T4_measured"
"negative","21-30",0,31,"T4_measured"
"negative","21-30",1,434,"T4_measured"
"negative","31-40",0,43,"T4_measured"
"negative","31-40",1,491,"T4_measured"
"negative","41-50",0,21,"T4_measured"
"negative","41-50",1,442,"T4_measured"
"negative","51-60",0,50,"T4_measured"
"negative","51-60",1,656,"T4_measured"
"negative","61-70",0,36,"T4_measured"
"negative","61-70",1,598,"T4_measured"
"negative","71-80",0,14,"T4_measured"
"negative","71-80",1,358,"T4_measured"
"negative","81-90",0,4,"T4_measured"
"negative","81-90",1,95,"T4_measured"
"negative","91-100",1,2,"T4_measured"
"sick","11-20",1,6,"T4_measured"
"sick","21-30",1,6,"T4_measured"
"sick","31-40",1,12,"T4_measured"
"sick","41-50",1,23,"T4_measured"
"sick","51-60",1,46,"T4_measured"
"sick","61-70",1,53,"T4_measured"
"sick","71-80",1,63,"T4_measured"
"sick","81-90",1,20,"T4_measured"
"sick","91-100",1,2,"T4_measured"
"negative","1-10",0,8,"thyrox_util_rate_T4U_measured"
"negative","1-10",1,22,"thyrox_util_rate_T4U_measured"
"negative","11-20",0,41,"thyrox_util_rate_T4U_measured"
"negative","11-20",1,195,"thyrox_util_rate_T4U_measured"
"negative","21-30",0,56,"thyrox_util_rate_T4U_measured"
"negative","21-30",1,409,"thyrox_util_rate_T4U_measured"
"negative","31-40",0,67,"thyrox_util_rate_T4U_measured"
"negative","31-40",1,467,"thyrox_util_rate_T4U_measured"
"negative","41-50",0,40,"thyrox_util_rate_T4U_measured"
"negative","41-50",1,423,"thyrox_util_rate_T4U_measured"
"negative","51-60",0,76,"thyrox_util_rate_T4U_measured"
"negative","51-60",1,630,"thyrox_util_rate_T4U_measured"
"negative","61-70",0,64,"thyrox_util_rate_T4U_measured"
"negative","61-70",1,570,"thyrox_util_rate_T4U_measured"
"negative","71-80",0,20,"thyrox_util_rate_T4U_measured"
"negative","71-80",1,352,"thyrox_util_rate_T4U_measured"
"negative","81-90",0,7,"thyrox_util_rate_T4U_measured"
"negative","81-90",1,92,"thyrox_util_rate_T4U_measured"
"negative","91-100",1,2,"thyrox_util_rate_T4U_measured"
"sick","11-20",1,6,"thyrox_util_rate_T4U_measured"
"sick","21-30",0,1,"thyrox_util_rate_T4U_measured"
"sick","21-30",1,5,"thyrox_util_rate_T4U_measured"
"sick","31-40",1,12,"thyrox_util_rate_T4U_measured"
"sick","41-50",0,1,"thyrox_util_rate_T4U_measured"
"sick","41-50",1,22,"thyrox_util_rate_T4U_measured"
"sick","51-60",0,3,"thyrox_util_rate_T4U_measured"
"sick","51-60",1,43,"thyrox_util_rate_T4U_measured"
"sick","61-70",0,1,"thyrox_util_rate_T4U_measured"
"sick","61-70",1,52,"thyrox_util_rate_T4U_measured"
"sick","71-80",0,1,"thyrox_util_rate_T4U_measured"
"sick","71-80",1,62,"thyrox_util_rate_T4U_measured"
"sick","81-90",0,1,"thyrox_util_rate_T4U_measured"
"sick","81-90",1,19,"thyrox_util_rate_T4U_measured"
"sick","91-100",1,2,"thyrox_util_rate_T4U_measured"
"negative","1-10",0,8,"FTI_measured"
"negative","1-10",1,22,"FTI_measured"
"negative","11-20",0,41,"FTI_measured"
"negative","11-20",1,195,"FTI_measured"
"negative","21-30",0,55,"FTI_measured"
"negative","21-30",1,410,"FTI_measured"
"negative","31-40",0,67,"FTI_measured"
"negative","31-40",1,467,"FTI_measured"
"negative","41-50",0,39,"FTI_measured"
"negative","41-50",1,424,"FTI_measured"
"negative","51-60",0,76,"FTI_measured"
"negative","51-60",1,630,"FTI_measured"
"negative","61-70",0,64,"FTI_measured"
"negative","61-70",1,570,"FTI_measured"
"negative","71-80",0,20,"FTI_measured"
"negative","71-80",1,352,"FTI_measured"
"negative","81-90",0,7,"FTI_measured"
"negative","81-90",1,92,"FTI_measured"
"negative","91-100",1,2,"FTI_measured"
"sick","11-20",1,6,"FTI_measured"
"sick","21-30",0,1,"FTI_measured"
"sick","21-30",1,5,"FTI_measured"
"sick","31-40",1,12,"FTI_measured"
"sick","41-50",0,1,"FTI_measured"
"sick","41-50",1,22,"FTI_measured"
"sick","51-60",0,3,"FTI_measured"
"sick","51-60",1,43,"FTI_measured"
"sick","61-70",0,1,"FTI_measured"
"sick","61-70",1,52,"FTI_measured"
"sick","71-80",0,1,"FTI_measured"
"sick","71-80",1,62,"FTI_measured"
"sick","81-90",0,1,"FTI_measured"
"sick","81-90",1,19,"FTI_measured"
"sick","91-100",1,2,"FTI_measured"
